Code	StockOnHand	Count
"6077525"	48	""
"6080297"	0	""
"6024437"	38	""
"6081751"	0	""
"6080051"	270	""
"6080785"	0	""
"6048907"	95	""
"6015367"	276	""
"6081515"	37	""
"6039585"	0	""
"6063696"	0	""
"6081799"	0	""
"601207"	39	""
"6081874"	0	""
"6075187"	5562	""
"6012304"	0	""
"601227"	0	""
"601229"	0	""
"6081737"	0	""
"6061562"	0	""
"6081898"	0	""
"6081843"	0	""
"6026417"	0	""
"6044268"	121	""
"6081904"	0	""
"6073428"	0	""
"6077648"	0	""
"601245"	35	""
"6080624"	0	""
"6003630"	588	""
"6071516"	0	""
"6033286"	0	""
"6069018"	45	""
"601689"	0	""
"601244"	24	""
"6010454"	0	""
"6077785"	0	""
"6077594"	0	""
"6077662"	0	""
"6084639"	0	""
"6080068"	285	""
"601265"	0	""
"601276"	104	""
"6011932"	24	""
"601285"	0	""
"601275"	0	""
"601286"	0	""
"6081829"	0	""
"6081812"	0	""
"601291"	0	""
"602831"	0	""
"602862"	0	""
"601226"	0	""
"6035556"	0	""
"6047986"	37	""
"6081966"	0	""
"601230"	0	""
"6082024"	0	""
"6082321"	0	""
"601179"	0	""
"6007638"	0	""
"6070243"	0	""
"601211"	0	""
"601202"	172	""
"6003593"	1614	""
"6077563"	667	""
"6079277"	276	""
"6087593"	0	""
"6022150"	112	""
"6000288"	0	""
"6045812"	0	""
"601212"	0	""
"601213"	0	""
"6084486"	339	""
"6046637"	10	""
"601225"	137.166	""
"6038540"	2	""
"601228"	507	""
"6074777"	0	""
"601232"	0	""
"6053543"	0	""
"601176"	42	""
"601214"	0	""
"6077556"	418	""
"6079093"	144	""
"6003647"	0	""
"6064907"	30	""
"6051600"	0	""
"6070472"	0	""
"601279"	32	""
"601290"	24	""
"6051686"	0	""
"6081959"	0	""
"6084592"	56	""
"6055455"	0	""
"6055448"	29	""
"6055462"	30	""
"601204"	0	""
"6073572"	0	""
"601206"	28	""
"6061654"	0	""
"6061647"	0	""
"6004071"	0	""
"6075545"	0	""
"6000264"	0	""
"6086053"	0	""
"6051327"	60	""
"6083847"	0	""
"6079918"	70	""
"6076689"	0	""
"6053635"	0	""
"6024277"	0	""
"6026455"	0	""
"601251"	13	""
"6026462"	0	""
"6082376"	0	""
"6073374"	0	""
"6076634"	0	""
"6076672"	0	""
"6046545"	55	""
"6072346"	0	""
"6073114"	0	""
"6076641"	0	""
"6076696"	0	""
"6075262"	60	""
"6081775"	0	""
"6024260"	0	""
"6082000"	40	""
"6079895"	52	""
"6062323"	0	""
"601280"	0	""
"6024307"	0	""
"6012808"	37	""
"601284"	0	""
"6060978"	0	""
"6080532"	191	""
"6080549"	195	""
"6057084"	0	""
"6045258"	0	""
"6045289"	0	""
"6045265"	0	""
"6060961"	0	""
"6031589"	0	""
"6048761"	0	""
"6069988"	13	""
"601287"	0	""
"601288"	0	""
"6043582"	0	""
"6061357"	0	""
"6073541"	0	""
"6035280"	0	""
"6061296"	0	""
"601195"	0	""
"6003778"	0	""
"6005900"	0	""
"6084554"	5	""
"6006129"	0	""
"6084547"	4	""
"6005580"	0	""
"6041397"	0	""
"6041403"	0	""
"6041366"	0	""
"6041441"	0	""
"6041540"	0	""
